"","length","Treatment","Dose"
"1",4.2,2,0.5
"2",11.5,2,0.5
"3",7.3,2,0.5
"4",5.8,2,0.5
"5",6.4,2,0.5
"6",10,2,0.5
"7",11.2,2,0.5
"8",11.2,2,0.5
"9",5.2,2,0.5
"10",7,2,0.5
"11",16.5,2,1
"12",16.5,2,1
"13",15.2,2,1
"14",17.3,2,1
"15",22.5,2,1
"16",17.3,2,1
"17",13.6,2,1
"18",14.5,2,1
"19",18.8,2,1
"20",15.5,2,1
"21",23.6,2,2
"22",18.5,2,2
"23",33.9,2,2
"24",25.5,2,2
"25",26.4,2,2
"26",32.5,2,2
"27",26.7,2,2
"28",21.5,2,2
"29",23.3,2,2
"30",29.5,2,2
"31",15.2,1,0.5
"32",21.5,1,0.5
"33",17.6,1,0.5
"34",9.7,1,0.5
"35",14.5,1,0.5
"36",10,1,0.5
"37",8.2,1,0.5
"38",9.4,1,0.5
"39",16.5,1,0.5
"40",9.7,1,0.5
"41",19.7,1,1
"42",23.3,1,1
"43",23.6,1,1
"44",26.4,1,1
"45",20,1,1
"46",25.2,1,1
"47",25.8,1,1
"48",21.2,1,1
"49",14.5,1,1
"50",27.3,1,1
"51",25.5,1,2
"52",26.4,1,2
"53",22.4,1,2
"54",24.5,1,2
"55",24.8,1,2
"56",30.9,1,2
"57",26.4,1,2
"58",27.3,1,2
"59",29.4,1,2
"60",23,1,2
